Year,Net federal government financial debt (million dollars),Gross federal government debt (million dollars),Population Estimates,Gross domestic product at market prices (million dollars),Federal Net Debt per person (dollars),Federal Gross Debt per person (dollars),Federal GDP per person (dollars),Federal Net Debt as a percent of GDP (%),Federal Gross Debt as a percent of GDP (%)
1961,12394.0,20864.0,18092000,40672,685.05,1153.22,2248.07,30.47,51.3
1962,13378.0,22775.0,18442000,44696,725.41,1234.95,2423.6,29.93,50.96
1963,14079.0,24494.0,18787000,47668,749.4,1303.77,2537.29,29.54,51.38
1964,15262.0,26212.0,19142000,52652,797.3,1369.34,2750.6,28.99,49.78
1965,15748.0,26838.0,19501000,57364,807.55,1376.24,2941.59,27.45,46.79
1966,15381.0,27738.0,19857000,64428,774.59,1396.89,3244.6,23.87,43.05
1967,15866.0,29844.0,20228000,69584,784.36,1475.38,3439.98,22.8,42.89
1968,16713.0,32008.0,20581000,75408,812.06,1555.22,3663.96,22.16,42.45
1969,17396.0,34355.0,20888000,83876,832.82,1644.72,4015.51,20.74,40.96
1970,18095.0,35820.0,21182000,91460,854.26,1691.06,4317.82,19.78,39.16
1971,18581.0,39930.0,21465000,96388,865.64,1860.24,4490.47,19.28,41.43
1972,19328.0,43762.0,22092498,108256,874.87,1980.85,4900.12,17.85,40.42
1973,20123.0,46211.0,22347459,124860,900.46,2067.84,5587.21,16.12,37.01
1974,21580.0,49057.0,22649538,149424,952.78,2165.92,6597.22,14.44,32.83
1975,24769.0,55125.0,22979190,167572,1077.89,2398.91,7292.34,14.78,32.9
1976,28573.0,61928.0,23304197,196288,1226.09,2657.38,8422.86,14.56,31.55
1977,32629.0,69735.0,23591713,219892,1383.07,2955.91,9320.73,14.84,31.71
1978,45846.0,82355.0,23849503,241296,1922.3,3453.11,10117.44,19.0,34.13
1979,59040.0,100492.0,24071889,271352,2452.65,4174.66,11272.57,21.76,37.03
1980,72555.0,110611.0,24345365,309756,2980.24,4543.41,12723.41,23.42,35.71
1981,86280.0,127665.0,24665355,355992,3498.02,5175.88,14432.88,24.24,35.86
1982,99600.0,144505.0,24979229,383004,3987.31,5785.01,15332.9,26.0,37.73
1983,128302.0,173091.0,25242830,403236,5082.71,6857.04,15974.28,31.82,42.93
1984,164532.0,209304.0,25482358,447840,6456.7,8213.68,17574.51,36.74,46.74
1985,209891.0,250515.0,25721170,486096,8160.24,9739.64,18898.67,43.18,51.54
1986,245151.0,284037.0,25962414,518612,9442.53,10940.32,19975.49,47.27,54.77
1987,276735.0,318277.0,26256140,552484,10539.82,12122.0,21042.09,50.09,57.61
1988,305438.0,349894.0,26602328,610948,11481.63,13152.76,22965.96,49.99,57.27
1989,333519.0,379993.0,27032356,656160,12337.77,14056.97,24273.13,50.83,57.91
1990,362920.0,406606.0,27463550,691928,13214.61,14805.3,25194.41,52.45,58.76
1991,395075.0,444557.0,27854861,694008,14183.34,15959.76,24915.15,56.93,64.06
1992,428682.0,476104.0,28181477,710008,15211.48,16894.22,25194.14,60.38,67.06
1993,471061.0,514357.0,28533602,733952,16508.99,18026.36,25722.37,64.18,70.08
1994,513219.0,557604.0,28835772,772656,17798.0,19337.23,26795.05,66.42,72.17
1995,550685.0,595877.0,29141902,823972,18896.67,20447.43,28274.48,66.83,72.32
1996,578718.0,634939.0,29446857,844208,19652.96,21562.2,28668.87,68.55,75.21
1997,588402.0,651124.0,29751536,891748,19777.2,21885.39,29973.18,65.98,73.02
1998,581581.0,645725.0,30028506,934612,19367.63,21503.73,31124.16,62.23,69.09
1999,574468.0,648389.0,30260117,975240,18984.33,21427.18,32228.56,58.91,66.49
2000,561733.0,648212.0,30525872,1070188,18401.87,21234.84,35058.39,52.49,60.57
2001,545300.0,644900.0,30824441,1149924,17690.51,20921.71,37305.59,47.42,56.08
2002,534690.0,640526.0,31169393,1158640,17154.33,20549.84,37172.36,46.15,55.28
2003,526492.0,629638.0,31480672,1250088,16724.29,20000.78,39709.7,42.12,50.37
2004,523648.0,628830.0,31777704,1296216,16478.47,19788.4,40790.11,40.4,48.51
2005,523344.0,626217.0,32076720,1380324,16315.38,19522.48,43031.96,37.91,45.37
2006,514099.0,619701.0,32395309,1476000,15869.55,19129.34,45562.15,34.83,41.99
2007,508122.0,618765.0,32717701,1547276,15530.49,18912.24,47291.71,32.84,39.99
2008,490412.0,594390.0,33050613,1637296,14838.21,17984.24,49539.05,29.95,36.3
2009,553446.0,836957.0,33427050,1557232,16556.83,25038.31,46585.98,35.54,53.75
2010,574715.0,876083.0,33807529,1644032,16999.62,25913.84,48629.17,34.96,53.29
2011,616463.0,912717.0,34166099,1737952,18043.12,26714.11,50867.73,35.47,52.52
2012,642866.0,958419.0,34516352,1815120,18624.97,27767.1,52587.25,35.42,52.8
2013,670422.0,1006601.0,34883119,1876844,19219.1,28856.39,53803.79,35.72,53.63
2014,687644.0,1009244.0,35249639,1963452,19507.83,28631.33,55701.34,35.02,51.4
2015,682129.0,1017536.0,35575187,1984300,19174.29,28602.41,55777.64,34.38,51.28
2016,692965.0,1052628.0,35871136,1998420,19318.18,29344.71,55711.09,34.68,52.67
2017,715990.0,1102246.0,36313430,2107708,19716.95,30353.67,58042.11,33.97,52.3
2018,749306.0,1137950.0,36788832,2202260,20367.76,30931.94,59862.19,34.02,51.67
2019,768416.0,1182082.0,37311904,2261964,20594.39,31681.1,60623.12,33.97,52.26
2020,794426.0,1229410.0,37894799,2275320,20963.99,32442.71,60043.07,34.91,54.03
